Delegator Address,Validator Address,Shares,Balance
core10ndk60s6l6jdc52pwagdxdxq9dsf52ecqtuh2j,corevaloper1q69hxadh5pl9d6q0a35y3mfx8ls5quxuqgla8t,528000000000000000000000000,528000000
core107rcfula8mxw7ze6kt75zjh2ht9u7ug7p0k4s9,corevaloper1q69hxadh5pl9d6q0a35y3mfx8ls5quxuqgla8t,3000000000000000000000000000,3000000000
core1szr7sgx9jgm4ervuw3asnkree4vrl6p9gz50gy,corevaloper1q69hxadh5pl9d6q0a35y3mfx8ls5quxuqgla8t,67993718000000000000000000,67993718
core1ssjdx5temcttylr6m7p77fzfwue5fej00xnavv,corevaloper1q69hxadh5pl9d6q0a35y3mfx8ls5quxuqgla8t,682507425000000000000000000,682507425
core1shl38cnguvaf4z8aawr99xmp5lmqv0haachye3,corevaloper1q69hxadh5pl9d6q0a35y3mfx8ls5quxuqgla8t,101430155000000000000000000,101430155
core13pv7thdyl268xsttaenaruweyj7qc5lf0lpjuz,corevaloper1q69hxadh5pl9d6q0a35y3mfx8ls5quxuqgla8t,8300000000000000000000000,8300000
core13pmvj2xmatx35u4ca0f89jsv68r0u9yu0ufutk,corevaloper1q69hxadh5pl9d6q0a35y3mfx8ls5quxuqgla8t,125698000000000000000000000000,125698000000
core138gy9zmrx5tar6yrtavu8gpq077xk34kykpxvr,corevaloper1q69hxadh5pl9d6q0a35y3mfx8ls5quxuqgla8t,4200000000000000000000000000,4200000000
core1329lh4n8uh0hemgxhhkkn4q38904rx64xvw7nm,corevaloper1q69hxadh5pl9d6q0a35y3mfx8ls5quxuqgla8t,210000000000000000000000000,210000000
core13wd7mfk4hrh3x2t25s2wzwte4h3xn6fjkyxqdm,corevaloper1q69hxadh5pl9d6q0a35y3mfx8ls5quxuqgla8t,100000000000000000000000000000,100000000000
core13jjupt383qz5vjeudjl9n5e03892gpc2geenry,corevaloper1q69hxadh5pl9d6q0a35y3mfx8ls5quxuqgla8t,780000000000000000000000000,780000000
core1358f3p06njy3d7qta50wjnx7mjg5fr3ef5c38n,corevaloper1q69hxadh5pl9d6q0a35y3mfx8ls5quxuqgla8t,622649266000000000000000000,622649266
core1jpwcln9n9j5hj76dy0ykck69aw6amklhq3vhzv,corevaloper1q69hxadh5pl9d6q0a35y3mfx8ls5quxuqgla8t,16091538416000000000000000000,16091538416
core1jxvk0dlepxmz2lrqj4uyrdzn4n253zt093twag,corevaloper1q69hxadh5pl9d6q0a35y3mfx8ls5quxuqgla8t,11815350851000000000000000000,11815350851
core1jtrjf4p48jsdfju55n7ah7thw3tfaam936n0lv,corevaloper1q69hxadh5pl9d6q0a35y3mfx8ls5quxuqgla8t,3000000000000000000000000000,3000000000
core1jjdcx68e3z3k8mumul32ktkk30v5x5c73cgu4a,corevaloper1q69hxadh5pl9d6q0a35y3mfx8ls5quxuqgla8t,200053483000000000000000000,200053483
